Author,Book Title,Chapter,Sentence
Penny_Wylder,The Billionaire's Toy,3,“Why me?” He turns back at the door.
Pippa_Grant,Crazy for Loving You,46,Like they didn’t steal half our tourists last month with their freaking unicorn festival .
L_Steele,The Billionaire's Secret,55,"""I mean, it’s not like I can deck you with a phone or anything, right?"""
KA_Linde,The Wright Mistake,11,I cringed.
Sara_Cate,Praise,38,"“Both of you, stop!” I scream, coming toward them."
L_Steele,The Billionaire's Secret,29,"So help me, Saint, if it is—"" He pops a cracker, topped with something savory, into my mouth."
LT_Swan,The Takeover,1,"I know she’s right; our company, Anderson Media, is struggling."
Jennifer_Probst,The Marriage Arrangement,12,"The thought of her father sick, stressed, and alone while she happily lived like a society princess tore at her."
Lisa_Kleypas,Smooth Talking Stranger,11,The bully never bothered Haven again.
Meghan_Quinn,So Not Meant To Be,11,I fight the urge to curl my fingers around her nape and bring her in closer.
Diane_Alberts,The Prince's Bride,3,But that did nothing to hide the narrowness of his eyes.
Max_Monroe,Tapping The Billionaire,4,Get up for work.
Laurelin_Paige,Brutal Billionaire,9,I swipe it before she can pick it up again and take a nice size gulp.
Leslie_North,The Billionaire's Ex-Wife,8,She blinked a few times just to make sure she wasn't hallucinating the uncharacteristic offer .
Diane_Alberts,Beauty and the Boss,15,"His mother stopped to speak to her, and she tensed."
Jessica_Lemmon,The Billionaire Next Door,21,Maybe he was irked that she hadn’t asked for his help.
Catharina_Maura,The Unwanted Marriage,28,"“In fact, I think I should give all of them to you."
L_Steele,The Billionaire's Fake Wife,37,"Her lips part, ""No, don’t—"" Ten, eleven, twelve… I spank her heart-shaped behind again and again."
Katy_Evans,Mogul,13,I groan as he leaves but feel swamped with relief when he comes back with a protein bar and a bottle of water for me.
Ann_Cole,Love Has a Name,2,"People here kind of, well, didn’t give a shit."
Max_Monroe,Tapping The Billionaire,19,A place where people could find almost anything.
Laurelin_Paige,Brutal Billionaire,19,Their wants from me are clear—sexual attention and to be showered with the gifts of the Sebastian name.
Jessica_Lemmon,The Billionaire Next Door,13,"*  *  * Oliver handed over the check, and Rachel could swear it felt heavy."
Jessica_Lemmon,The Billionaire Next Door,22,“You act different with her.
Tia_Louise,Make Me Yours,32,"She makes a little noise and tucks her head closer to me, hiding her eyes."
Jessica_Lemmon,The Bastard Billionaire,22,His last-minute idea to ship Isa the items he’d ruined while they were together had come in barely enough time to hire a courier to have it delivered.
Ana_Huang,Twisted Lies,5,“Don’t ask questions you don’t want the answer to.” Surprise tinged with hurt bloomed in my chest.
Katy_Evans,Mogul,13,“Sara.
LJ_Shen,The Villain,8,We were still driving around.
Jennifer_Probst,The Marriage Arrangement,4,"When Rip was hired to pull the business from ruin, he’d been focused on success no matter what the cost."
Alexa_Riley,His Alone,22,I will dominate every inch of her if it means she can’t ever walk away from me.
LT_Swan,The Takeover,18,I told you he’s an asshole.” “Hmm.
LJ_Shen,The Monster,2,"She lived with us, working two jobs to support us."
LJ_Shen,The Monster,2,Sending hugz from Cali.
KA_Linde,The Wright Mistake,2,She screamed right before I caught her and then dropped her back onto her feet.
Annika_Martin,Most Eligible Billionaire,34,"I make my way down to my area, saying hi here and there."
Anne_Melody,The Tycoon's Revenge,13,"“That’s plenty of time,” she answered him, feeling a bit of her panic come back."
JS_Scott,The Billionaire’s Obsession _Sam,12,"If she wasn’t sure, she wouldn’t be having unprotected sex with him."
Leslie_North,The Billionaire's Sexy Rival,5,"Her teasing poke had loosened him up, though."
Tia_Louise,Make Me Yours,7,I don’t know.
Kendra_Little,Bedding the Billionaire,13,"Her voice sounded hard, cold."
Jennifer_Probst,The Marriage Arrangement,8,"Was it because he wished he had the time to win her heart on his own, rather than making her feel forced into a marriage with him?"
Jessica_Clare,Stranded with a Billionaire,13,She listened to the sounds around her—lots of people.
Ana_Huang,Twisted Lies,6,Some of them shot me pitying glances; others didn’t hide their smirks.
LT_Swan,The Stopover,9,. .
LJ_Shen,The Villain,18,It took a full month for Joelle Arrowsmith to pick up the phone and give me a call.
Katy_Evans,Boss,13,Happiness.
Jessica_Clare,The Wrong Billionaire's Bed,5,“Two minutes was the agreement.” And he was . . .
L_Steele,The Billionaire's Fake Wife,20,"The dark leather would highlight her creamy skin beautifully; set off the freckles on her arms, lend a sheen to those glossy pink curls on her head… unlike her pussy where she is as bare as the day she was born."
L_Steele,The Billionaire's Christmas Bride,17,"I frown, ""Wipe that image from your mind, please."""
Alexa_Riley,His Alone,10,"“It’s not terrible,” she counters, making me laugh even harder, and her smile widens."
Ana_Huang,King of Wrath,6,“And Luca?” I stopped him before he opened the door.
Louise_Bay,King of Wall Street,7,He circled his hands around my waist and pulled me onto him as he thrust his hips forward.
Meghan_Quinn,So Not Meant To Be,3,seems like reckless behavior if you ask me.
Melanie_Harlow,Call Me Crazy,8,"Quickly, I scanned the room—my parents and the rest of my family in the front two rows."
Ann_Cole,Mr. Mysterious In Black,10,"A huge, fluffy, white pelt was spread obediently beneath it."
Sarina_Bowen,Brooklynaire,28,“About Juliet and Dallas .” Oh.
Catharina_Maura,The Unwanted Marriage,29,"That’s some talent you have there, honey.” I stand back and watch my wife come out of her shell just a little."
Max_Monroe,Banking the Billionaire,43,"Cassie: Thanks, Win."
GT_Geissinger,Ache for You,3,"“Sorry, I didn’t get that.” “I said, ‘Do not disrespect my mother.’ ” Astonished, I stare at him for a moment before bursting into laughter."
Louise_Bay,Park Avenue Prince,24,How pathetic.
Meghan_Quinn,So Not Meant To Be,27,"Shake it off.” “It’s been four bad games in a row,” I answer through gritted teeth as I yank my jeans up my legs and sit back in my chair again, facing away from the rest of the team."
Sara_Cate,Highest Bidder,43,She even sings about the fucking cheese.
Ana_Huang,King of Wrath,11,"No matter how hard I tried, I couldn’t shake the memory of Dante’s mouth on mine."
Meghan_Quinn,A Not So Meet Cute,16,Lottie: Question—have you always been this dirty?
Jessica_Clare,The Wrong Billionaire's Bed,7,She liked that.
Meghan_Quinn,A Not So Meet Cute,16,My hands she’s imagining on her body.
Meghan_Quinn,A Long Time Coming,18,"Either way, I’m seeing you tonight."
Lisa_Kleypas,Sugar Daddy,1,I said I'd have to help her up from the sofa first.
Lisa_Kleypas,Blue Eyed Devil,2,"""Because Gage married his old girlfriend?"""
GT_Geissinger,Burn for You,31,The way to make you happy is to freak out and swear like a sailor.” He stopped laughing and grinned at me.
Kendra_Little,Suddenly Sexy,20,"It was going to be bad enough when Sam lost interest after she stopped using it, she didn't think she could face more than one disappointment."
Lisa_Kleypas,Sugar Daddy,1,"Twelve?"""
Leslie_North,The Billionaire's Ex-Wife,14,“I’ve always wanted to know what kind of tools you construction workers carried in your tool belt.
LJ_Shen,The Villain,21,In the flesh.
Lisa_Kleypas,Sugar Daddy,3,"Try to keep them healthy and safe, and you got blame instead of gratitude, rebellion instead of cooperation."
GT_Geissinger,Ache for You,19,He got the hint.
Leslie_North,The Billionaires Pregnant Fling,1,"Margot is pregnant and for the first time in her life, unsure of how to handle a situation."
Max_Monroe,Banking the Billionaire,27,Places to be and all that.” He tried to hide his cringe.
Annika_Martin,Breaking the Billionaire's Rules,5,"Then the corner of his lip quirks up, all baffled amusement."
LJ_Shen,The Monster,9,"“She relies on me … mentally.” “That, to use the technical term, is fucked-up.” “Maybe, but it’s the truth."
Max_Monroe,Scoring the Billionaire,3,I could easily make an exception—and maybe end up spiraling into the life of one of those people on My Strange Addiction .
Meghan_Quinn,So Not Meant To Be,7,"I scan the table, and when I see a smirking Breaker glance up at me, I wonder how much of this seating arrangement was because of him."
Louise_Bay,King of Wall Street,2,“Speak to your mom today?” I asked.
Louise_Bay,Park Avenue Prince,8,The way you like the intimate or unexpected.” He grinned.
Ana_Huang,Twisted Love,33,And I did.
