topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
20,Eye Contact And Staring,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.052222222222222225,0.00364130539318083,0.003804125222090304,1.0
21,Parked Car Makeout,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.15333333333333332,0.0032149459795063062,0.0030757645267414768,1.0
22,Resisting Temptation,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.29777777777777775,0.0022281202335636074,0.0018844256968014595,1.0
23,Board Game Around Table,7,3,Jessica_Clare,3,0.42857142857142855,0.8571428571428571,False,0.0,medium,0.07333333333333333,0.0006276825729546005,0.0006159312870847019,0.07608695652173914
24,Phone Notifications During Night,67,25,Sara_Cate,3,0.04477611940298507,0.08955223880597014,False,0.0,low,0.2644444444444444,0.0022803417169074197,0.0017202446919752671,0.7282608695652174
26,Nighttime Fun Planning,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.08888888888888889,0.0026338728769271774,0.0025503979803095257,0.9891304347826086
27,Exiting Through Doorways,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.30666666666666664,0.003372773087993975,0.00491484016277449,1.0
28,Unclear Feelings Conversation,8,7,Lisa_Kleypas,2,0.25,0.375,False,0.0,low,0.1688888888888889,0.0008540325137628777,0.0008424342515165196,0.08695652173913043
29,Time Perception Distortion,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.03777777777777778,0.003897546853144412,0.0036597833029881495,1.0
30,Hockey Game Action,60,28,Alexa_Riley,3,0.05,0.1,False,0.0,low,0.13666666666666666,0.0006777652405073841,0.0006066700707765936,0.34782608695652173
