taxonomy_main_group,taxonomy_main_name,n_books,top_median,top_mean,middle_median,middle_mean,trash_median,trash_mean,kruskal_stat,kruskal_p,epsilon_squared,top_vs_trash_delta,top_vs_trash_p,kruskal_p_adj_family,top_vs_trash_p_adj_family
Relationship Trajectory (Main Couple),"Reconciliation, Commitments & HEA",92,0.026285902810923488,0.032898471279557064,0.0277053894383169,0.03163897021980784,0.023985096317554577,0.029653023608329287,2.215798854604941,0.3302519512143199,0.0024247062315161908,0.1711111111111111,0.25805149508623626,1.0,1.0
Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",92,0.16381548740265922,0.16906775029372106,0.1599784094992891,0.1651533672686291,0.16991921785185496,0.17365713208697459,2.5118279569892366,0.2848154140635821,0.005750875921227377,-0.12,0.4289633888604326,1.0,1.0
"Sexuality, Attraction & Intimacy",Attraction & Sexual Tension,92,0.1931327874810946,0.20376732632382868,0.18991113421446365,0.19032943935357927,0.1948937637643698,0.19558217910017622,0.7922130668536624,0.6729350020467535,-0.013570639698273455,0.06222222222222222,0.6843225867624494,0.6729350020467535,0.6843225867624494
"Sexuality, Attraction & Intimacy",Explicit Sexual Acts,92,0.4478880123212847,0.453611405569674,0.45291950988270363,0.47163000837806457,0.47813948663644923,0.5033657026749785,4.079184198223459,0.13008176052385712,0.023361620204757964,-0.3,0.04675584239277178,0.26016352104771423,0.09351168478554356
"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,92,0.3587018779306901,0.34262126810649735,0.35287381347126084,0.3380405522683562,0.31384750507534154,0.30105211822484534,5.615696587190257,0.060334675329878795,0.04062580435045233,0.3333333333333333,0.027086318388295935,0.18100402598963639,0.0812589551648878
Social World Outside Couple,"Community, Norms & Social Events",92,0.06522076924470843,0.07668893654557894,0.056731291948809506,0.06580139719071872,0.05766634411764235,0.06275510981575648,2.6799322113136554,0.2618545438176844,0.007639687767569162,0.24444444444444444,0.10546994652177778,0.7855636314530532,0.31640983956533336
Social World Outside Couple,Family & Kinship,92,0.6089590768233475,0.6010344671105606,0.6108316581747457,0.6165621011036415,0.619051084611893,0.6057607231921545,0.07713592800377,0.9621663098446973,-0.021605214292092473,0.0,1.0,1.0,1.0
Social World Outside Couple,Friends & Social Circles,92,0.31029216043581787,0.3222765963438603,0.31988647936436637,0.31763650170563984,0.31988934747359343,0.33148416699208894,0.49207281439925055,0.7818937578451494,-0.01694300208540168,-0.1111111111111111,0.46427291062161524,1.0,0.9285458212432305
"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,92,0.6042678790231744,0.6064994520423768,0.5772487841548388,0.5659806032249708,0.5767103335772633,0.5683470696576948,3.6697960495558277,0.1596297792203431,0.018761753365795816,0.24888888888888888,0.09925760823982568,0.21173304419974373,0.12290382202251397
"Spaces, Time, Activities & Objects",Public & Leisure Spaces,92,0.3618860320045362,0.355397226241557,0.38548142342312663,0.3995510824767215,0.3932347344838144,0.4003027671289275,4.49115240766713,0.10586652209987187,0.02799047649064191,-0.2822222222222222,0.061451911011256986,0.21173304419974373,0.12290382202251397
"Spaces, Time, Activities & Objects","Time, Seasons & Temporal Framing",92,0.034790249468340674,0.03810332171606625,0.03328465689041818,0.03446831429830775,0.02989216946504001,0.03135016321337766,5.915868980832158,0.05192606025721612,0.043998527874518634,0.36,0.016954880587293254,0.15577818077164834,0.05086464176187976
"Work, Wealth, Status & Institutions",Hero's Elite Work & Business World,92,0.7447598073859083,0.7478784170626015,0.7657721507064035,0.7642168095934946,0.7638678471453375,0.7447575185550888,4.2191561477325195,0.12128913069283154,0.024934338738567634,-0.22444444444444445,0.13732283484699295,0.48515652277132615,0.5492913393879718
"Work, Wealth, Status & Institutions",Heroine's Work & Professional Identity,92,0.08238517908486845,0.08519436366287622,0.09216357877786155,0.0914871268136767,0.08431116952279424,0.08939373337095916,1.8717975689574473,0.3922331739696055,-0.001440476753287109,-0.04666666666666667,0.7618283459354748,0.5722472581454098,1.0
"Work, Wealth, Status & Institutions","Law, Medicine, Education & Formal Institutions",92,0.07068676558752637,0.0693098631174688,0.06281233268774924,0.06193424461805319,0.06509846475356043,0.06863850748361426,3.1180195184665536,0.21034425956631808,0.01256201706142195,0.19333333333333333,0.20094889697592833,0.5722472581454098,0.602846690927785
"Work, Wealth, Status & Institutions","Money, Housing & Economic Security",92,0.03121470503567718,0.03654362423794115,0.026393117225148383,0.029099764556811354,0.03148557409636575,0.047206483351708,3.3135928003740105,0.19074908604846993,0.014759469667123713,0.011111111111111112,0.9469559422255942,0.5722472581454098,1.0
"Work, Wealth, Status & Institutions",Shared Workplaces & Professional Interaction,92,0.058119208626699975,0.06107373191911221,0.052504468752628465,0.053262054417964146,0.04720519968536191,0.05000375723862979,6.197463768115938,0.045106366242822625,0.04716251424849369,0.3488888888888889,0.020680749139978086,0.22553183121411313,0.10340374569989043
