book_id,entropy,effective_topics,hhi,richness_1e3,thematic_mass,rating_tier,other_share,paratext_share,noise_share,unmapped_share,modeled_mass
27394781,5.123265218917087,167.88264924313395,0.01362111091121529,244,0.6519715768747915,trash,0.31347039685317246,0.0004905625185516132,0.0002619835067618631,3.7921125486943914e-05,0.6519715768747915
28675670,5.494663978968122,243.38972835087822,0.005121056032219113,279,0.6397553896235482,top,0.3447267207845779,0.001207459836994639,0.0005860278155544796,4.057485395775673e-05,0.6397553896235482
28869598,5.327750940013267,205.9742044872833,0.008343713119740637,261,0.658539471747385,middle,0.3230255468318216,0.0010073103888085311,0.0003403807084190178,0.0016415021873264022,0.658539471747385
28963772,5.47302443932457,238.17946385378414,0.005495626047162215,271,0.5974593220956773,trash,0.339638934477528,0.0013517069537589185,0.0008842386014863964,6.758399904725083e-05,0.5974593220956773
29424551,5.475889663068381,238.8628799113213,0.005320159016889416,266,0.6420009746468538,top,0.34220339503603847,0.001034271345575973,0.0006696098001115519,0.0001547101990650816,0.6420009746468538
29939161,5.3976007410491755,220.87584162576093,0.006054791930997177,253,0.6637495659693498,middle,0.3201835821680462,0.0007656494053260872,0.0003095181116285024,0.00026922818292590895,0.6637495659693498
30291077,5.094218902515139,163.07641628528816,0.013474583325898608,223,0.6786543618995067,middle,0.30780386558398454,0.00161029005454598,0.0009766680205785805,3.755176432465276e-05,0.6786543618995067
30618705,5.138086183899105,170.38936217552862,0.011764187132715322,234,0.6962299992727682,trash,0.29055423529925617,0.001263995112498647,0.0004666067921808276,3.270489962502434e-05,0.6962299992727682
30627346,5.315258228311676,203.41703438467363,0.008872411635717387,268,0.632767220397072,middle,0.31627805719125957,0.0009588609682613638,0.00031582225758100443,0.0008188460083991439,0.632767220397072
31276376,5.46118952087548,235.37724405197744,0.005620301449430255,267,0.6528488914775614,top,0.33131772983960295,0.0013707248982991747,0.0007987882058750847,4.071476461383054e-05,0.6528488914775614
31424202,5.413878466994764,224.50061957875116,0.00594844948224973,256,0.6741438398348502,trash,0.3088555802791485,0.0018177871012214724,0.0013599526502555898,0.0001642297304432275,0.6741438398348502
31625455,5.433455179029736,228.93890533502866,0.0058320162797333795,260,0.6481592384668451,trash,0.3175788477801791,0.0008521865466950244,0.0004590756256761059,0.0003752093880857293,0.6481592384668451
32195234,5.347304229983426,210.0413109086306,0.006724272161818002,246,0.6665857978481736,middle,0.29773587103665433,0.0009365111930549912,0.00041056824903584483,3.182672319309644e-05,0.6665857978481736
33743772,5.411476366798546,223.96199377198099,0.006166987909531329,261,0.6640290806239142,trash,0.31082269359966297,0.0017123274495024648,0.0011456872341475603,4.195342055315576e-05,0.6640290806239142
34272677,5.171456177769702,176.1711873599675,0.010607674955198381,227,0.687967681479,trash,0.2987731942751506,0.0009666748818830439,0.00026853977790260283,4.41006529813995e-05,0.687967681479
34322023,5.394931086736776,220.28696587974292,0.006600483945488136,260,0.6572468451510712,middle,0.30179864651439015,0.0013346126613770235,0.0007265719025689575,4.208948545585391e-05,0.6572468451510712
34438741,5.426147049425046,227.2718889486198,0.006140489298891418,260,0.6469122802748761,top,0.3129325285795871,0.0009690376183405855,0.00035883084538980805,4.6065968201981195e-05,0.6469122802748761
34812836,5.436360853991987,229.60509477641895,0.006025164701515607,267,0.6584349178246199,top,0.32279509437288834,0.0012025162765885735,0.0007790234230381842,0.00035066267647801576,0.6584349178246199
35008850,5.378104659720923,216.61133392488554,0.007108770469840162,255,0.6606394483311436,middle,0.32348832081249146,0.0014787767101116871,0.0012328571858918576,0.0001834209710803535,0.6606394483311436
35053870,5.410806662181788,223.81205560351935,0.006696661369930794,272,0.6623029427125803,middle,0.3168322230450622,0.0009229613176952464,0.000434693981447386,4.7847457721415435e-05,0.6623029427125803
