book_id,rating_tier,taxonomy_main_group,abs_share,cond_share,modeled_mass,other_share,paratext_share,noise_share,unmapped_share,n_topics_in_group
23518136,trash,Relationship Trajectory (Main Couple),0.22082770166707827,0.3403332025016916,0.6488573552149403,0.3088900770410502,0.0017037091197200922,0.0006783802954427873,2.843063222053421e-05,134
23518136,trash,"Sexuality, Attraction & Intimacy",0.13229644382320205,0.20389141428377208,0.6488573552149403,0.3088900770410502,0.0017037091197200922,0.0006783802954427873,2.843063222053421e-05,48
23518136,trash,Social World Outside Couple,0.039507736539073676,0.06088816936657265,0.6488573552149403,0.3088900770410502,0.0017037091197200922,0.0006783802954427873,2.843063222053421e-05,29
23518136,trash,"Spaces, Time, Activities & Objects",0.04904079482406383,0.07558024029460003,0.6488573552149403,0.3088900770410502,0.0017037091197200922,0.0006783802954427873,2.843063222053421e-05,22
23518136,trash,"Work, Wealth, Status & Institutions",0.04745672878760999,0.07313892399646066,0.6488573552149403,0.3088900770410502,0.0017037091197200922,0.0006783802954427873,2.843063222053421e-05,19
27394781,trash,"Conflict, Risk & Harm",0.012497341407814389,0.019168537174151158,0.6519715768747915,0.31347039685317246,0.0004905625185516132,0.0002619835067618631,3.7921125486943914e-05,8
27394781,trash,Embodied & Sensory Experience,0.009684905346577856,0.01485479688087354,0.6519715768747915,0.31347039685317246,0.0004905625185516132,0.0002619835067618631,3.7921125486943914e-05,4
27394781,trash,"Emotions, Cognition & Inner Life",0.1426366170153071,0.21877735483352198,0.6519715768747915,0.31347039685317246,0.0004905625185516132,0.0002619835067618631,3.7921125486943914e-05,54
27394781,trash,Relationship Trajectory (Main Couple),0.21488344190529313,0.3295901992159401,0.6519715768747915,0.31347039685317246,0.0004905625185516132,0.0002619835067618631,3.7921125486943914e-05,134
27394781,trash,"Sexuality, Attraction & Intimacy",0.1378132706693068,0.21137926185357814,0.6519715768747915,0.31347039685317246,0.0004905625185516132,0.0002619835067618631,3.7921125486943914e-05,48
27394781,trash,Social World Outside Couple,0.04588733950750211,0.07038242330664453,0.6519715768747915,0.31347039685317246,0.0004905625185516132,0.0002619835067618631,3.7921125486943914e-05,29
27394781,trash,"Spaces, Time, Activities & Objects",0.047637969525876955,0.07306755572724244,0.6519715768747915,0.31347039685317246,0.0004905625185516132,0.0002619835067618631,3.7921125486943914e-05,22
27394781,trash,"Work, Wealth, Status & Institutions",0.040892770371626225,0.06272170723706183,0.6519715768747915,0.31347039685317246,0.0004905625185516132,0.0002619835067618631,3.7921125486943914e-05,19
28675670,top,"Conflict, Risk & Harm",0.01324340960591545,0.02070073940871101,0.6397553896235482,0.3447267207845779,0.001207459836994639,0.0005860278155544796,4.057485395775673e-05,8
28675670,top,Embodied & Sensory Experience,0.01451285142668318,0.022685000645673328,0.6397553896235482,0.3447267207845779,0.001207459836994639,0.0005860278155544796,4.057485395775673e-05,4
28675670,top,"Emotions, Cognition & Inner Life",0.12913413951438293,0.20184924052045805,0.6397553896235482,0.3447267207845779,0.001207459836994639,0.0005860278155544796,4.057485395775673e-05,54
28675670,top,Relationship Trajectory (Main Couple),0.22180523102426455,0.3467031847199937,0.6397553896235482,0.3447267207845779,0.001207459836994639,0.0005860278155544796,4.057485395775673e-05,134
28675670,top,"Sexuality, Attraction & Intimacy",0.11995054598251745,0.1874943891494217,0.6397553896235482,0.3447267207845779,0.001207459836994639,0.0005860278155544796,4.057485395775673e-05,48
28675670,top,Social World Outside Couple,0.04557841995220484,0.07124351070965512,0.6397553896235482,0.3447267207845779,0.001207459836994639,0.0005860278155544796,4.057485395775673e-05,29
28675670,top,"Spaces, Time, Activities & Objects",0.051825524555313175,0.08100834380748072,0.6397553896235482,0.3447267207845779,0.001207459836994639,0.0005860278155544796,4.057485395775673e-05,22
28675670,top,"Work, Wealth, Status & Institutions",0.04366469270830881,0.0682521685890016,0.6397553896235482,0.3447267207845779,0.001207459836994639,0.0005860278155544796,4.057485395775673e-05,19
28869598,middle,"Conflict, Risk & Harm",0.015212511358140352,0.02310037896099849,0.658539471747385,0.3230255468318216,0.0010073103888085311,0.0003403807084190178,0.0016415021873264022,8
28869598,middle,Embodied & Sensory Experience,0.009876486328891772,0.014997561653647361,0.658539471747385,0.3230255468318216,0.0010073103888085311,0.0003403807084190178,0.0016415021873264022,4
28869598,middle,"Emotions, Cognition & Inner Life",0.12469975787314816,0.18935806162425878,0.658539471747385,0.3230255468318216,0.0010073103888085311,0.0003403807084190178,0.0016415021873264022,54
28869598,middle,Relationship Trajectory (Main Couple),0.2296888393213292,0.3487852272725082,0.658539471747385,0.3230255468318216,0.0010073103888085311,0.0003403807084190178,0.0016415021873264022,134
28869598,middle,"Sexuality, Attraction & Intimacy",0.11791545290689401,0.17905601405184446,0.658539471747385,0.3230255468318216,0.0010073103888085311,0.0003403807084190178,0.0016415021873264022,48
