topic,mean_trash,mean_middle,mean_top,H,p,q,significant,max_group,max_mean,eta2_kw
Physical Intimacy Focusing on Touch,1.256379703212413,1.487484149329221,1.0131242632544435,7.449250442509822,0.0241221391979988,0.2594312260418805,False,middle,1.487484149329221,0.05988187299461343
Bedroom and Cozy Blankets,1.8799320168915823,2.318761062476692,2.1488176280965408,6.787864393309974,0.0335763880164318,0.277568672994215,False,middle,2.318761062476692,0.05261389443197773
Departures and Goodbyes,0.3982039467745129,0.2594315560611439,0.2767034385027338,7.0911412238558,0.0288521544282277,0.277568672994215,False,trash,0.3982039467745129,0.055946606855558245
Expensive Jewellery,0.0774843016707714,0.1381648186755081,0.1776591364407174,6.878184155683272,0.0320938107859945,0.277568672994215,False,top,0.1776591364407174,0.05360641929322277
Gatherings and Shared Meals,0.1643099566297065,0.1036405811718994,0.0826798587035951,6.640240848228789,0.0361484783434326,0.277568672994215,False,trash,0.1643099566297065,0.05099165767284383
Grumpiness and Gloomy Mood,0.0290604540666966,0.0375862395276364,0.0431573382065671,6.934476812593832,0.0312030820217525,0.277568672994215,False,top,0.0431573382065671,0.05422501991861354
Kitchen and Cooking,0.365588433211614,0.5418125569388615,0.5069530290187193,6.904648379637995,0.0316719391695264,0.277568672994215,False,middle,0.5418125569388615,0.053897234941076864
Partings and Letting Go,0.7069692144556359,0.5332450016950816,0.6236895472238404,6.700220351840471,0.035080488862778,0.277568672994215,False,trash,0.7069692144556359,0.05165077309714804
Walls and Renovation,0.0746425100403863,0.110658268639091,0.0947200985934348,6.693832995077723,0.0351927037554268,0.277568672994215,False,middle,0.110658268639091,0.05158058236349146
Rings and Engagements,0.1334610972052978,0.1135474756860804,0.2085058155102287,6.541239488916043,0.0379828800999326,0.2815972145339834,False,top,0.2085058155102287,0.04990373064742904
"Blushing, Embarrassment and Innocence",0.4541032780876722,0.2798986377064891,0.3147226888861192,6.198403352237847,0.0450851806068746,0.2861372115888589,False,trash,0.4541032780876722,0.04613630057404227
Ice Cream and Milkshakes,0.0739100891353616,0.0563917028388989,0.1338305361792909,6.191122651843994,0.0452496055535869,0.2861372115888589,False,top,0.1338305361792909,0.04605629287740653
Manicure and Figernails,0.0370141296957233,0.0677693773956833,0.0560134657285719,6.197386156821043,0.0451081166585314,0.2861372115888589,False,middle,0.0677693773956833,0.04612512260242904
Startling and Sudden Realizations,0.1977393736609031,0.0848362864907725,0.0660127660486213,6.327038234390036,0.0422767023218031,0.2861372115888589,False,trash,0.1977393736609031,0.04754987070758281
