topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
88,Missed Opportunity Regret,37,23,max monroe,3,0.08108108108108109,0.16216216216216217,False,0.0,low,0.1711111111111111,0.0009207564148918576,0.0008210676777425877,0.40217391304347827
89,Emotional Argument,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.15777777777777777,0.00192897794004376,0.0017444815736091064,1.0
90,Medical Appointment At Hospital,12,8,l. steele,3,0.25,0.4166666666666667,False,0.0,low,0.12666666666666668,0.0005486189197104232,0.0004869887111483402,0.13043478260869565
91,Vivid Childhood Memories,68,31,tia louise,3,0.04411764705882353,0.08823529411764706,False,0.0,low,0.0022222222222222222,0.0013030101778113076,0.0012184672673739275,0.7391304347826086
92,Luxury Hotel Suite,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.19777777777777777,0.0023610121142720944,0.0021219641322103096,1.0
93,Family Apologies And Reconciliation,74,29,alexa riley,3,0.04054054054054054,0.08108108108108109,False,0.0,low,-0.24888888888888888,0.0011966713604792771,0.001491285249765052,0.8043478260869565
94,Anger Management In Relationship,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.03111111111111111,0.0024986235004076057,0.0024746755395248475,1.0
95,Work-related Evening Call,5,3,louise bay,3,0.6,0.8,True,0.6666666666666666,high,0.26,0.0002466094438751764,0.00022003489724622418,0.05434782608695652
96,Whispered Love Confessions,89,33,alexa riley,3,0.033707865168539325,0.06741573033707865,False,0.0,low,-0.23555555555555555,0.002780245678054928,0.0039165208357601995,0.967391304347826
97,Eyes Closed In Intimacy,68,25,alexa riley,3,0.04411764705882353,0.08823529411764706,False,0.0,low,0.34,0.0019068068612623462,0.0013984014415269344,0.7391304347826086
98,Parental Warning About Engagement,2,1,ana huang,2,1.0,1.0,True,0.5,high,0.16,0.0001912306152536653,0.00018331373694540967,0.021739130434782608
99,Desire And Regret Conversation,87,32,alexa riley,3,0.034482758620689655,0.06896551724137931,False,0.0,low,0.1711111111111111,0.0019248859018114067,0.0017189821433325823,0.9456521739130435
100,Gifting White Roses,35,22,ana huang,3,0.08571428571428572,0.17142857142857143,False,0.0,low,0.2088888888888889,0.0008880384833297879,0.0007802883902314628,0.3804347826086957
101,Sister's Tragic Letters,7,4,j. clare,3,0.42857142857142855,0.7142857142857143,False,0.0,medium,0.13777777777777778,0.0005202150762620149,0.00047499085028951133,0.07608695652173914
102,Hair Tugging During game,87,32,alexa riley,3,0.034482758620689655,0.06896551724137931,False,0.0,low,0.2311111111111111,0.003274713695036357,0.0025371657569947977,0.9456521739130435
103,Nude Bed Scene,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.18666666666666668,0.0019199138288424162,0.002100572765697568,1.0
104,Sister's Confusing Admissions,73,28,alexa riley,3,0.0410958904109589,0.0821917808219178,False,0.0,low,-0.057777777777777775,0.0004417921805473967,0.00045251643603082514,0.29347826086956524
105,Hurried Conversations,90,33,alexa riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,0.075,0.0006327255881139073,0.00034101802023511773,0.4891304347826087
106,Nighttime Conversations,2,2,emma bray,1,0.5,1.0,False,0.0,medium,0.19333333333333333,0.0006289841697139592,0.0005683034090549638,0.021739130434782608
108,Epic Love Confessions,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.14,0.005002887872606837,0.004791378952656626,1.0
109,Wealthy Businessman's Lifestyle,32,22,pipa grant,3,0.09375,0.1875,False,0.0,low,-0.11333333333333333,0.0008318997556172282,0.0008597067716155811,0.34782608695652173
110,Intense Listening Conversation,7,7,ana huang,1,0.14285714285714285,0.2857142857142857,False,0.0,low,0.11555555555555555,0.000721996942587099,0.0006574897506879689,0.07608695652173914
111,Nightmare Confessions,50,26,alexa riley,3,0.06,0.12,False,0.0,low,-0.15555555555555556,0.0010263900382171,0.0010894310794615158,0.5434782608695652
112,Snowy Winter Walk,79,33,alexa riley,3,0.0379746835443038,0.0759493670886076,False,0.0,low,0.1511111111111111,0.0014099432480739326,0.001338427483002303,0.8586956521739131
113,Sister's Drug Struggle,5,3,j. clare,3,0.6,0.8,True,0.6666666666666666,high,0.1111111111111111,0.0005249501279749776,0.00048252949135510926,0.05434782608695652
114,Reluctant Relationship Choices,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.06888888888888889,0.003721655526286701,0.003530909643032335,1.0
115,Golfing Couple's Weekend,4,2,k.a. linde,3,0.75,1.0,True,0.6666666666666666,high,0.035555555555555556,0.0007095780493583557,0.0007149161319783382,0.043478260869565216
116,Important Conversation,88,33,alexa riley,3,0.03409090909090909,0.06818181818181818,False,0.0,low,0.2088888888888889,0.002000154370533514,0.0016998829304290379,0.9565217391304348
117,Constant Hate And Dislike,91,33,leslie north,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.06,0.0017777842626990389,0.0017884255041274422,0.9891304347826086
118,Boardroom Negotiation,2,1,laurelin paige,2,1.0,1.0,True,1.0,high,0.11777777777777777,0.0005298447532423659,0.0005021185773198325,0.021739130434782608
